id_victima,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
17,HOMBRE,MASCULINO,MONTUBIO/A,NO DETERMINADO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
18,HOMBRE,MASCULINO,MULATO/A,SOLTERO,ECUADOR,NINGUNA,VENDEDOR,SIN_DATO
19,HOMBRE,MASCULINO,MULATO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
20,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
21,HOMBRE,MASCULINO,NO DETERMINADO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
22,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
23,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,PERU,NINGUNA,SIN_DATO,SIN_DATO
24,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
25,HOMBRE,MASCULINO,OTROS,SOLTERO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
26,HOMBRE,MASCULINO,OTROS,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR COMERCIAL,SIN_DATO
27,HOMBRE,MASCULINO,OTROS,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
28,HOMBRE,MASCULINO,OTROS,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
29,HOMBRE,MASCULINO,OTROS,SOLTERO,VENEZUELA,NINGUNA,ESTADO PERSONAL,SIN_DATO
30,HOMBRE,MASCULINO,SIN_DATO,SOLTERO,ECUADOR,NINGUNA,SERVIDOR PÚBLICO,BACHILLERATO
31,HOMBRE,MASCULINO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO
32,HOMBRE,NO APLICA,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
33,HOMBRE,NO APLICA,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
34,HOMBRE,NO APLICA,NO DETERMINADO,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,SIN_DATO
35,HOMBRE,NO BINARIO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO
