id_delito,tipo_muerte,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,area_hecho,lugar,tipo_lugar
46,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,FINCA,PRIVADO
47,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,HACIENDAS,PRIVADO
48,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,INSTITUTO EDUCATIVO,PRIVADO
49,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA BLANCA,URBANO,MAR,PÚBLICO
50,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,PARQUES Y PLAZAS,PÚBLICO
51,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,PLAYA,PÚBLICO
52,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,RÍO,PÚBLICO
53,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,TERRENO BALDÍO,PÚBLICO
54,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
55,ASESINATO,ARMA CONTUNDENTE,MARTILLO,PSICOPATOLOGÍAS,TRASTORNOS MENTALES,HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
56,FEMICIDIO,ARMA CONTUNDENTE,MARTILLO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
57,HOMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,ROBO A DOMICILIOS,HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
58,ASESINATO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,URBANO,CENTROS DE REHABILITACIÓN SOCIAL,PRIVADO
59,HOMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,RURAL,FINCA,PRIVADO
60,HOMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,URBANO,QUEBRADAS,PÚBLICO
61,ASESINATO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,RURAL,RÍO,PÚBLICO
62,HOMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,RURAL,TERRENO BALDÍO,PÚBLICO
63,ASESINATO,ARMA CONTUNDENTE,OBJETO CONTUSO,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,RURAL,VÍA PÚBLICA,PÚBLICO
64,FEMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,PSICOPATOLOGÍAS,TRASTORNOS MENTALES,HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
65,ASESINATO,ARMA CONTUNDENTE,OBJETO CONTUSO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDAS CONTUSAS,URBANO,CENTROS DE REHABILITACIÓN SOCIAL,PRIVADO
66,ASESINATO,ARMA CONTUNDENTE,OBJETO CONTUSO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,HERIDAS CONTUSAS,RURAL,VÍA PÚBLICA,PÚBLICO
67,HOMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,VIOLENCIA INTRAFAMILIAR,MALTRATO,HERIDAS CONTUSAS,RURAL,VÍA PÚBLICA,PÚBLICO
68,FEMICIDIO,ARMA CONTUNDENTE,OBJETO CONTUSO,VIOLENCIA SEXUAL,VIOLACIÓN FAMILIAR DIRECTO (PERSONA CONOCIDA),HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
69,ASESINATO,ARMA CONTUNDENTE,PALO,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDAS CONTUSAS,RURAL,VÍA PÚBLICA,PÚBLICO
70,HOMICIDIO,ARMA CONTUNDENTE,PALO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDAS CONTUSAS,URBANO,"FUNDACIONES, ASOCIACIONES Y ORGANIZACIONES",PRIVADO
71,HOMICIDIO,ARMA CONTUNDENTE,PALO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDAS CONTUSAS,RURAL,OTROS CENTROS DE DIVERSIÓN,PRIVADO
72,ASESINATO,ARMA CONTUNDENTE,PALO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,HERIDAS CONTUSAS,URBANO,VÍA PÚBLICA,PÚBLICO
73,FEMICIDIO,ARMA CONTUNDENTE,PALO,VIOLENCIA INTRAFAMILIAR,MALTRATO,HERIDAS CONTUSAS,URBANO,CASA/VILLA,PRIVADO
74,ASESINATO,ARMA CONTUNDENTE,ROCA,DELINCUENCIA COMÚN,AMENAZA,HERIDAS CONTUSAS,URBANO,VÍA PÚBLICA,PÚBLICO
75,HOMICIDIO,ARMA CONTUNDENTE,ROCA,VIOLENCIA COMUNITARIA,RIÑAS,HERIDAS CONTUSAS,URBANO,TERRENO BALDÍO,PÚBLICO
76,HOMICIDIO,ARMA CONTUNDENTE,ROCA,VIOLENCIA COMUNITARIA,LINCHAMIENTO,HERIDAS CONTUSAS,URBANO,VÍA PÚBLICA,PÚBLICO
77,HOMICIDIO,ARMA DE FUEGO,CARTUCHERA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,VÍA PÚBLICA,PÚBLICO
78,ASESINATO,ARMA DE FUEGO,CARTUCHERA,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA DE FUEGO,RURAL,FINCA,PRIVADO
79,ASESINATO,ARMA DE FUEGO,ESCOPETA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,VÍA PÚBLICA,PÚBLICO
80,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,CASA/VILLA,PRIVADO
81,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,HACIENDAS,PRIVADO
82,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA DE FUEGO,URBANO,INTERIOR DE TAXI,PRIVADO
83,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,LICORERÍAS,PRIVADO
84,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA DE FUEGO,RURAL,MAR,PÚBLICO
85,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,MERCADOS,PÚBLICO
86,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,NIGHT CLUBS,PRIVADO
87,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,PLAYA,PÚBLICO
88,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,PUERTOS,PÚBLICO
89,ASESINATO,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,RESTAURANTE,PRIVADO
